ticker,Date,Open,High,Low,Close,Volume,Adj Close
ABBV,9/25/15,57.84,57.880001,55.080002,55.740002,8631800,55.740002
ABBV,9/24/15,56.93,57.48,55.919998,56.57,8303900,56.57
ABBV,9/23/15,57.900002,58.400002,57.150002,57.43,9814100,57.43
ABBV,9/22/15,58.169998,58.259998,56.91,57.740002,13999700,57.740002
ABBV,9/21/15,61.240002,61.740002,59.290001,59.389999,10964600,59.389999
ABBV,9/18/15,59.419998,61.830002,58.970001,61.220001,28734900,61.220001
ABBV,9/17/15,59.560001,60.919998,59.389999,59.860001,10018600,59.860001
ABBV,9/16/15,59.5,59.639999,58.630001,59.509998,7993000,59.509998
ABBV,9/15/15,58.98,59.439999,58.369999,59.200001,10321500,59.200001
ABBV,9/14/15,59.43,59.619999,57.540001,58.939999,9078000,58.939999
ABBV,9/11/15,59.619999,59.759998,58.970001,59.349998,9348900,59.349998
ABBV,9/10/15,59.360001,60.130001,58.889999,59.580002,9184500,59.580002
ABBV,9/9/15,61.52,61.52,59.110001,59.259998,8354300,59.259998
ABBV,9/8/15,60.220001,60.939999,59.91,60.57,9217700,60.57
ABBV,9/4/15,60.650002,60.799999,58.959999,59.77,9281400,59.77
ABBV,9/3/15,61.450001,62.279999,61.349998,61.580002,11603300,61.580002
ABBV,9/2/15,61.560001,61.599998,60.279999,60.98,11934600,60.98
ABBV,9/1/15,61,61.630001,60.16,60.5,12538100,60.5
ABBV,8/31/15,64.139999,64.309998,62.25,62.41,14650400,62.41
ABBV,8/28/15,63.91,64.779999,63.439999,63.98,7298700,63.98
ABBV,8/27/15,64.029999,64.599998,63,64.510002,11119500,64.510002
ABBV,8/26/15,62.470001,63.220001,60.880001,63.139999,14942200,63.139999
ABBV,8/25/15,65.110001,65.120003,60.650002,60.709999,15061600,60.709999
ABBV,8/24/15,61.169998,64.849998,53.869999,63.450001,19331700,63.450001
ABBV,8/21/15,66.739998,67.160004,65.830002,65.900002,16243800,65.900002
ABBV,8/20/15,68,68.43,67.480003,67.480003,9537200,67.480003
ABBV,8/19/15,68.75,69.080002,68.209999,68.589996,6230200,68.589996
ABBV,8/18/15,69.419998,69.739998,68.669998,68.860001,6147400,68.860001
ABBV,8/17/15,68.709999,69.82,68.300003,69.370003,7402500,69.370003
ABBV,8/14/15,68.559998,69.440002,68.410004,68.650002,5845600,68.650002
ABBV,8/13/15,68.68,69.089996,68.209999,68.540001,7118400,68.540001
ABBV,8/12/15,67.830002,68.919998,67.239998,68.75,8337600,68.75
ABBV,8/11/15,68.5,69.290001,67.940002,68.25,7365500,68.25
ABBV,8/10/15,68.919998,69.43,68.5,69.209999,8122400,69.209999
ABBV,8/7/15,69.080002,69.300003,67.769997,68.620003,6180000,68.620003
ABBV,8/6/15,70.370003,70.779999,68.800003,69.239998,6172200,69.239998
ABBV,8/5/15,70.099998,70.639999,70.050003,70.300003,10048200,70.300003
ABBV,8/4/15,70.040001,70.389999,69.669998,69.949997,5391500,69.949997
ABBV,8/3/15,70.190002,70.790001,69.279999,69.730003,9216400,69.730003
ABBV,7/31/15,70.379997,70.379997,69.730003,70.010002,6106700,70.010002
ABBV,7/30/15,70.860001,70.879997,69.269997,70.160004,6784900,70.160004
ABBV,7/29/15,71.290001,71.510002,70.739998,70.769997,6722100,70.769997
ABBV,7/28/15,69.5,71.440002,69.080002,71.230003,9826100,71.230003
ABBV,7/27/15,68.459999,70.959999,68.459999,69.339996,12354600,69.339996
ABBV,7/24/15,67.529999,69.019997,67.349998,68.080002,13445500,68.080002
ABBV,7/23/15,70.25,70.93,70.139999,70.519997,5628400,70.519997
ABBV,7/22/15,70.260002,70.650002,70.029999,70.559998,5701700,70.559998
ABBV,7/21/15,70.809998,71.599998,70.220001,70.540001,4968700,70.540001
ABBV,7/20/15,70,71.110001,69.860001,70.800003,9508400,70.800003
ABBV,7/17/15,69.989998,70.129997,69.699997,69.989998,5924600,69.989998
ABBV,7/16/15,70.139999,70.300003,69.830002,69.989998,6843800,69.989998
ABBV,7/15/15,69.809998,70.040001,69.309998,69.75,6761100,69.75
ABBV,7/14/15,69.709999,70.519997,69.400002,69.800003,6573300,69.800003
ABBV,7/13/15,69.419998,69.699997,69.169998,69.57,5507000,69.57
ABBV,7/10/15,68.940002,69.5,68.529999,69.230003,6891400,68.720001
ABBV,7/9/15,68.480003,68.919998,67.800003,67.970001,6516800,67.469281
ABBV,7/8/15,67.790001,68.440002,67.580002,67.660004,5027200,67.161568
ABBV,7/7/15,68.419998,68.790001,67.32,68.559998,7821600,68.054931
ABBV,7/6/15,67.529999,69,67.489998,68.220001,17029100,67.71744
ABBV,7/2/15,68.68,68.900002,67.790001,68.209999,6245700,67.707511
ABBV,7/1/15,67.900002,68.599998,67.68,68.510002,7694900,68.005304
ABBV,6/30/15,68,68.220001,66.660004,67.190002,11625900,66.695029
ABBV,6/29/15,69.269997,70.019997,67.080002,67.18,12057200,66.6851
ABBV,6/26/15,69.949997,70.599998,69.68,70.459999,9669500,69.940936
ABBV,6/25/15,69.669998,70.379997,69.290001,69.82,6191200,69.305651
ABBV,6/24/15,70.519997,70.75,69.029999,69.220001,9308200,68.710073
ABBV,6/23/15,70.010002,70.489998,69.57,70.019997,8720000,69.504175
ABBV,6/22/15,69.849998,70.599998,69.730003,70.120003,10124900,69.603444
ABBV,6/19/15,68.5,69.75,68.5,69.480003,9979500,68.96816
ABBV,6/18/15,67.790001,69.07,67.790001,68.980003,9079000,68.471843
ABBV,6/17/15,66.970001,67.989998,66.879997,67.769997,7377100,67.27075
ABBV,6/16/15,66.720001,67.400002,66.620003,66.769997,5200700,66.278117
ABBV,6/15/15,66.660004,67.050003,66.099998,66.910004,7028400,66.417093
ABBV,6/12/15,67.889999,67.93,66.589996,67.050003,8249900,66.556061
